Name of file,No of recoveries,Rsys_static,PoF_static,Rsys_dynamic,PoF_dynamic
Config Number,1
3,1,1,1e-06
Montage_25.txt,15,0.976498,0.0235019,0.862295,0.137705
Montage_50.txt,35,0.943359,0.0566411,0.891991,0.108009
CyberShake_30.txt,26,0.96879,0.0312101,0.894544,0.105456
CyberShake_50.txt,45,0.84802,0.15198,0.90837,0.0916296
Inspiral_30.txt,26,0.142185,0.857815,0.00547648,0.994524
Inspiral_50.txt,42,0.586056,0.413944,0.165579,0.834421
Sipht_30.txt,0,0.444365,0.555635,0.753885,0.246115
Sipht_60.txt,55,0.0537834,0.946217,0.00116652,0.998833


Config Number,2
3,0.8,1,1e-06
Montage_25.txt,24,0.998622,0.00137838,0.99973,0.000270386
Montage_50.txt,50,0.998839,0.00116125,0.998477,0.00152255
CyberShake_30.txt,30,0.989474,0.010526,0.990843,0.00915702
CyberShake_50.txt,49,0.989275,0.0107251,0.779229,0.220771
Inspiral_30.txt,30,0.67962,0.32038,0.776302,0.223698
Inspiral_50.txt,50,0.590287,0.409713,0.225107,0.774893
Sipht_30.txt,0,0.0237354,0.976265,0.784953,0.215047
Sipht_60.txt,58,0.32554,0.67446,0.271626,0.728374


Config Number,3
3,1,0,1e-06
Montage_25.txt,7,0.98202,0.0179804,0.721194,0.278806
Montage_50.txt,27,0.971617,0.0283828,0.897747,0.102253
CyberShake_30.txt,7,0.975465,0.0245352,0.759417,0.240583
CyberShake_50.txt,12,0.890161,0.109839,0.240928,0.759072
Inspiral_30.txt,7,0.386001,0.613999,0.00446717,0.995533
Inspiral_50.txt,14,0.127421,0.872579,0.0202735,0.979727
Sipht_30.txt,0,0.236396,0.763604,0.0754859,0.924514
Sipht_60.txt,1,0.0230161,0.976984,3.37318e-07,1


Config Number,4
3,0.8,0,1e-06
Montage_25.txt,18,0.997762,0.00223847,0.943862,0.0561383
Montage_50.txt,50,0.999055,0.000945345,0.993051,0.00694917
CyberShake_30.txt,30,0.990547,0.00945272,0.999596,0.000403911
CyberShake_50.txt,50,0.995931,0.00406867,0.776408,0.223592
Inspiral_30.txt,30,0.51564,0.48436,0.270799,0.729201
Inspiral_50.txt,50,0.843328,0.156672,0.0258186,0.974181
Sipht_30.txt,0,0.124329,0.875671,0.483456,0.516544
Sipht_60.txt,49,0.118266,0.881734,0.426014,0.573986


Config Number,5
4,1,1,1e-06
Montage_25.txt,10,0.978104,0.0218959,0.919794,0.0802055
Montage_50.txt,31,0.961165,0.0388352,0.907632,0.0923681
CyberShake_30.txt,0,0.627637,0.372363,0.818664,0.181336
CyberShake_50.txt,42,0.922152,0.0778479,0.798604,0.201396
Inspiral_30.txt,24,0.424409,0.575591,0.0121961,0.987804
Inspiral_50.txt,42,0.152955,0.847045,0.00345395,0.996546
Sipht_30.txt,0,0.303901,0.696099,0.997829,0.00217136
Sipht_60.txt,55,0.0876667,0.912333,0.014769,0.985231


Config Number,6
4,0.8,1,1e-06
Montage_25.txt,23,0.999118,0.000881933,0.999314,0.000686327
Montage_50.txt,50,0.999326,0.000673697,0.992447,0.00755332
CyberShake_30.txt,30,0.991361,0.00863947,0.997605,0.0023954
CyberShake_50.txt,50,0.975459,0.0245406,0.834368,0.165632
Inspiral_30.txt,30,0.663737,0.336263,0.291877,0.708123
Inspiral_50.txt,50,0.567081,0.432919,0.00747734,0.992523
Sipht_30.txt,0,0.0781448,0.921855,0.104314,0.895686
Sipht_60.txt,57,0.0840964,0.915904,0.233844,0.766156


Config Number,7
4,1,0,1e-06
Montage_25.txt,8,0.968497,0.0315029,0.861272,0.138728
Montage_50.txt,24,0.933569,0.0664311,0.830463,0.169537
CyberShake_30.txt,0,0.868124,0.131876,0.849808,0.150192
CyberShake_50.txt,13,0.955754,0.0442457,0.196313,0.803687
Inspiral_30.txt,5,0.64053,0.35947,0.00376437,0.996236
Inspiral_50.txt,14,0.537355,0.462645,0.0192767,0.980723
Sipht_30.txt,0,0.163299,0.836701,0.998869,0.00113061
Sipht_60.txt,1,0.0289408,0.971059,0.0402272,0.959773


Config Number,8
4,0.8,0,1e-06
Montage_25.txt,12,0.967863,0.0321371,0.849291,0.150709
Montage_50.txt,50,0.999442,0.000558419,0.997853,0.00214653
CyberShake_30.txt,30,0.955363,0.0446369,0.999802,0.00019767
CyberShake_50.txt,50,0.998473,0.00152736,0.996875,0.00312471
Inspiral_30.txt,13,0.643567,0.356433,0.364498,0.635502
Inspiral_50.txt,50,0.250191,0.749809,0.858867,0.141133
Sipht_30.txt,0,0.94066,0.0593397,0.0342357,0.965764
Sipht_60.txt,5,0.0414674,0.958533,0.0161732,0.983827


Config Number,9
5,1,1,1e-06
Montage_25.txt,13,0.984033,0.0159673,0.79522,0.20478
Montage_50.txt,30,0.929215,0.0707851,0.909069,0.0909312
CyberShake_30.txt,0,0.9033,0.0966998,0.861575,0.138425
CyberShake_50.txt,39,0.64935,0.35065,0.641534,0.358466
Inspiral_30.txt,23,0.292021,0.707979,0.215948,0.784052
Inspiral_50.txt,39,0.257063,0.742937,5.58238e-09,1
Sipht_30.txt,0,0.144641,0.855359,0.996384,0.00361642
Sipht_60.txt,0,0.0456316,0.954368,0.0374982,0.962502


Config Number,10
5,0.8,1,1e-06
Montage_25.txt,20,0.995604,0.00439625,0.999505,0.000494958
Montage_50.txt,46,0.977148,0.0228518,0.995471,0.00452867
CyberShake_30.txt,18,0.915493,0.084507,0.984865,0.0151349
CyberShake_50.txt,49,0.957817,0.0421834,0.938263,0.0617374
Inspiral_30.txt,27,0.886251,0.113749,0.240233,0.759767
Inspiral_50.txt,49,0.523949,0.476051,0.214932,0.785068
Sipht_30.txt,0,0.785342,0.214658,0.999614,0.000385523
Sipht_60.txt,57,0.281005,0.718995,0.166079,0.833921


Config Number,11
5,1,0,1e-06
Montage_25.txt,5,0.980877,0.0191231,0.83792,0.16208
Montage_50.txt,21,0.949411,0.050589,0.746423,0.253577
CyberShake_30.txt,0,0.910615,0.0893853,0.877712,0.122288
CyberShake_50.txt,9,0.899661,0.100339,0.173541,0.826459
Inspiral_30.txt,3,0.405018,0.594982,4.85393e-05,0.999951
Inspiral_50.txt,11,0.166685,0.833315,0.000148999,0.999851
Sipht_30.txt,0,0.0569395,0.94306,0.99776,0.00224038
Sipht_60.txt,0,0.263038,0.736962,0.0343838,0.965616


Config Number,12
5,0.8,0,1e-06
Montage_25.txt,13,0.978834,0.0211662,0.921265,0.0787348
Montage_50.txt,42,0.994467,0.00553335,0.930522,0.0694785
CyberShake_30.txt,4,0.878961,0.121039,0.986078,0.0139215
CyberShake_50.txt,35,0.965165,0.0348353,0.949989,0.050011
Inspiral_30.txt,9,0.466106,0.533894,0.68502,0.31498
Inspiral_50.txt,50,0.610478,0.389522,0.13653,0.86347
Sipht_30.txt,0,0.774299,0.225701,0.999674,0.000325569
Sipht_60.txt,2,0.133578,0.866422,6.13875e-05,0.999939


