 CONFIG NUMBER : 1 
3 1 1 1e-6
Montage_25.txt	25	0.99965	0.000350441
Montage_50.txt	50	0.999208	0.000792091
CyberShake_30.txt	30	0.991806	0.00819386
CyberShake_50.txt	50	0.994391	0.00560945
Inspiral_30.txt	30	0.573422	0.426578
Inspiral_50.txt	50	0.507169	0.492831
Sipht_30.txt	0	0.718612	0.281388
Sipht_60.txt	58	0.719427	0.280573
---------------------------------------------------------

 CONFIG NUMBER : 2 
3 0.8 1 1e-6
Montage_25.txt	25	0.999774	0.000226087
Montage_50.txt	50	0.99905	0.000950368
CyberShake_30.txt	30	0.995619	0.0043806
CyberShake_50.txt	50	0.985949	0.014051
Inspiral_30.txt	30	0.439641	0.560359
Inspiral_50.txt	50	0.639183	0.360817
Sipht_30.txt	28	0.221396	0.778604
Sipht_60.txt	58	0.0893421	0.910658
---------------------------------------------------------

 CONFIG NUMBER : 3 
3 1 0 1e-6
Montage_25.txt	25	0.999746	0.000253881
Montage_50.txt	50	0.999191	0.000808857
CyberShake_30.txt	30	0.99928	0.000720072
CyberShake_50.txt	48	0.985527	0.0144732
Inspiral_30.txt	30	0.495967	0.504033
Inspiral_50.txt	50	0.89569	0.10431
Sipht_30.txt	0	0.195127	0.804873
Sipht_60.txt	58	0.149013	0.850987
---------------------------------------------------------

 CONFIG NUMBER : 4 
3 0.8 0 1e-6
Montage_25.txt	25	0.999482	0.000517801
Montage_50.txt	50	0.999593	0.00040733
CyberShake_30.txt	30	0.992941	0.00705869
CyberShake_50.txt	50	0.99251	0.00748991
Inspiral_30.txt	30	0.880685	0.119315
Inspiral_50.txt	50	0.697373	0.302627
Sipht_30.txt	2	0.769468	0.230532
Sipht_60.txt	58	0.629512	0.370488
---------------------------------------------------------

 CONFIG NUMBER : 5 
4 1 1 1e-6
Montage_25.txt	25	0.999787	0.000213083
Montage_50.txt	50	0.999511	0.000489101
CyberShake_30.txt	30	0.994551	0.00544944
CyberShake_50.txt	50	0.993734	0.00626629
Inspiral_30.txt	30	0.6799	0.3201
Inspiral_50.txt	50	0.47476	0.52524
Sipht_30.txt	0	0.105765	0.894235
Sipht_60.txt	56	0.144583	0.855417
---------------------------------------------------------

 CONFIG NUMBER : 6 
4 0.8 1 1e-6
Montage_25.txt	25	0.999757	0.000242759
Montage_50.txt	50	0.999036	0.000963827
CyberShake_30.txt	30	0.994912	0.0050877
CyberShake_50.txt	50	0.996747	0.0032534
Inspiral_30.txt	30	0.783894	0.216106
Inspiral_50.txt	50	0.57706	0.42294
Sipht_30.txt	0	0.098902	0.901098
Sipht_60.txt	58	0.82359	0.17641
---------------------------------------------------------

 CONFIG NUMBER : 7 
5 1 1 1e-6
Montage_25.txt	24	0.987394	0.0126062
Montage_50.txt	47	0.975716	0.0242842
CyberShake_30.txt	20	0.91191	0.0880902
CyberShake_50.txt	50	0.99358	0.00642032
Inspiral_30.txt	29	0.457463	0.542537
Inspiral_50.txt	50	0.652547	0.347453
Sipht_30.txt	0	0.643634	0.356366
Sipht_60.txt	56	0.25398	0.74602
---------------------------------------------------------

